#chromosome	arm	band	iscn_start	iscn_stop	bp_start	bp_stop	stain	density
1	p	36.3	0	451	1	7200000	gneg	
1	p	36.2	451	682	7200001	16200000	gpos	100
1	p	36.1	682	1259	16200001	28000000	gneg	
1	p	35	1259	1583	28000001	34600000	gpos	100
1	p	34.3	1583	1779	34600001	40100000	gneg	
1	p	34.2	1779	1999	40100001	44100000	gpos	25
1	p	34.1	1999	2184	44100001	46800000	gneg	
1	p	33	2184	2519	46800001	50700000	gpos	75
1	p	32.3	2519	2723	50700001	56100000	gneg	
1	p	32.2	2723	2825	56100001	59000000	gpos	50
1	p	32.1	2825	3050	59000001	61300000	gneg	
1	p	31.3	3050	3387	61300001	68900000	gpos	50
1	p	31.2	3387	3705	68900001	69700000	gneg	
1	p	31.1	3705	4598	69700001	84900000	gpos	100
1	p	22.3	4598	4933	84900001	88400000	gneg	
1	p	22.2	4933	5148	88400001	92000000	gpos	75
1	p	22.1	5148	5430	92000001	94700000	gneg	
1	p	21	5430	6274	94700001	107200000	gpos	100
1	p	13.3	6274	6560	107200001	111800000	gneg	
1	p	13.2	6560	6827	111800001	116100000	gpos	50
1	p	13.1	6827	7094	116100001	117800000	gneg	
1	p	12	7094	7279	117800001	120600000	gpos	50
1	p	11	7279	7394	120600001	125000000	acen	
1	q	11	7394	7554	125000001	128900000	acen	
1	q	12	7554	8672	128900001	142600000	gvar	
1	q	21.1	8672	8915	142600001	147000000	gneg	
1	q	21.2	8915	9094	147000001	150300000	gpos	50
1	q	21.3	9094	9350	150300001	155000000	gneg	
1	q	22	9350	9685	155000001	156500000	gpos	50
1	q	23	9685	10160	156500001	165500000	gneg	
1	q	24	10160	10565	165500001	172900000	gpos	100
1	q	25	10565	11005	172900001	185800000	gneg	
1	q	31	11005	12207	185800001	198700000	gpos	100
1	q	32.1	12207	12757	198700001	207200000	gneg	
1	q	32.2	12757	12988	207200001	211500000	gpos	25
1	q	32.3	12988	13272	211500001	214500000	gneg	
1	q	41	13272	13920	214500001	224100000	gpos	100
1	q	42.1	13920	14212	224100001	230700000	gneg	
1	q	42.2	14212	14296	230700001	234700000	gpos	50
1	q	42.3	14296	14406	234700001	236600000	gneg	
1	q	43	14406	14776	236600001	243700000	gpos	75
1	q	44	14776	15100	243700001	249250621	gneg	
2	p	25.3	0	193	1	4400000	gneg	
2	p	25.2	193	282	4400001	7100000	gpos	50
2	p	25.1	282	475	7100001	12200000	gneg	
2	p	24	475	931	12200001	24000000	gpos	100
2	p	23	931	1558	24000001	32100000	gneg	
2	p	22	1558	2145	32100001	41800000	gpos	100
2	p	21	2145	2650	41800001	47800000	gneg	
2	p	16	2650	3439	47800001	61300000	gpos	100
2	p	15	3439	3682	61300001	64100000	gneg	
2	p	14	3682	3976	64100001	68600000	gpos	50
2	p	13	3976	4572	68600001	75000000	gneg	
2	p	12	4572	5068	75000001	83300000	gpos	100
2	p	11.2	5068	5534	83300001	90500000	gneg	
2	p	11.1	5534	5665	90500001	93300000	acen	
2	q	11.1	5665	5828	93300001	96800000	acen	
2	q	11.2	5828	6181	96800001	102700000	gneg	
2	q	12	6181	6602	102700001	110200000	gpos	100
2	q	13	6602	6928	110200001	114400000	gneg	
2	q	14.1	6928	7254	114400001	118800000	gpos	50
2	q	14.2	7254	7336	118800001	122400000	gneg	
2	q	14.3	7336	7662	122400001	129900000	gpos	50
2	q	21.1	7662	7920	129900001	132500000	gneg	
2	q	21.2	7920	8177	132500001	135100000	gpos	25
2	q	21.3	8177	8314	135100001	136800000	gneg	
2	q	22	8314	9048	136800001	148700000	gpos	100
2	q	23	9048	9374	148700001	154900000	gneg	
2	q	24.1	9374	9650	154900001	159800000	gpos	75
2	q	24.2	9650	9868	159800001	163700000	gneg	
2	q	24.3	9868	10202	163700001	169700000	gpos	75
2	q	31	10202	10854	169700001	183000000	gneg	
2	q	32.1	10854	11271	183000001	189400000	gpos	75
2	q	32.2	11271	11427	189400001	191900000	gneg	
2	q	32.3	11427	11792	191900001	197400000	gpos	75
2	q	33	11792	12362	197400001	209000000	gneg	
2	q	34	12362	12811	209000001	215300000	gpos	100
2	q	35	12811	13164	215300001	221500000	gneg	
2	q	36	13164	13653	221500001	231000000	gpos	100
2	q	37.1	13653	13930	231000001	235600000	gneg	
2	q	37.2	13930	14027	235600001	237300000	gpos	50
2	q	37.3	14027	14400	237300001	243199373	gneg	
3	p	26	0	257	1	8700000	gpos	100
3	p	25	257	649	8700001	16400000	gneg	
3	p	24.3	649	1010	16400001	23900000	gpos	100
3	p	24.2	1010	1114	23900001	26400000	gneg	
3	p	24.1	1114	1355	26400001	30900000	gpos	75
3	p	23	1355	1574	30900001	32100000	gneg	
3	p	22	1574	1966	32100001	43700000	gpos	100
3	p	21.3	1966	2910	43700001	50600000	gneg	
3	p	21.2	2910	3041	50600001	52300000	gpos	25
3	p	21.1	3041	3302	52300001	54400000	gneg	
3	p	14.3	3302	3575	54400001	58600000	gpos	50
3	p	14.2	3575	3847	58600001	63700000	gneg	
3	p	14.1	3847	4103	63700001	69800000	gpos	50
3	p	13	4103	4456	69800001	74200000	gneg	
3	p	12	4456	5439	74200001	87200000	gpos	100
3	p	11	5439	5573	87200001	91000000	acen	
3	q	11.1	5573	5733	91000001	93900000	acen	
3	q	11.2	5733	6034	93900001	98300000	gvar	
3	q	12	6034	6175	98300001	102800000	gneg	
3	q	13.1	6175	6665	102800001	111300000	gpos	100
3	q	13.2	6665	6806	111300001	113500000	gneg	
3	q	13.3	6806	7389	113500001	121900000	gpos	100
3	q	21	7389	7926	121900001	129200000	gneg	
3	q	22	7926	8255	129200001	138700000	gpos	100
3	q	23	8255	8538	138700001	142800000	gneg	
3	q	24	8538	9206	142800001	148900000	gpos	100
3	q	25.1	9206	9334	148900001	152100000	gneg	
