#chromosome	arm	band	iscn_start	iscn_stop	bp_start	bp_stop	stain	density
1	p	ter	0	1	0	1	gneg	
1	q	A1	1	18	2	8824052	gpos	100
1	q	A2	18	25	8824053	12255628	gneg	
1	q	A3	25	41	12255629	20099231	gpos	33
1	q	A4	41	45	20099232	22060132	gneg	
1	q	A5	45	63	22060133	30884184	gpos	100
1	q	B	63	88	30884185	43139813	gneg	
1	q	C1.1	88	111	43139814	54414992	gpos	66
1	q	C1.2	111	114	54414993	55885667	gneg	
1	q	C1.3	114	121	55885668	59317243	gpos	75
1	q	C2	121	133	59317244	65199945	gneg	
1	q	C3	133	152	65199946	74514223	gpos	33
1	q	C4	152	163	74514224	79906700	gneg	
1	q	C5	163	178	79906701	87260077	gpos	33
1	q	D	178	203	87260078	99515706	gneg	
1	q	E1.1	203	209	99515707	102457057	gpos	33
1	q	E1.2	209	211	102457058	103437507	gneg	
1	q	E2.1	211	229	103437508	112261560	gpos	100
1	q	E2.2	229	232	112261561	113732236	gneg	
1	q	E2.3	232	256	113732237	125497639	gpos	100
1	q	E3	256	262	125497640	128438990	gneg	
1	q	E4	262	284	128438991	139223944	gpos	66
1	q	F	284	300	139223945	147067546	gneg	
1	q	G1	300	309	147067547	151479573	gpos	100
1	q	G2	309	311	151479574	152460023	gneg	
1	q	G3	311	320	152460024	156872049	gpos	100
1	q	H1	320	326	156872050	159813400	gneg	
1	q	H2.1	326	334	159813401	163735202	gpos	33
1	q	H2.2	334	337	163735203	165205877	gneg	
1	q	H2.3	337	346	165205878	169617903	gpos	33
1	q	H3	346	358	169617904	175500605	gneg	
1	q	H4	358	370	175500606	181383307	gpos	33
1	q	H5	370	383	181383308	187756234	gneg	
1	q	H6	383	398	187756235	195109612	gpos	33
2	p	ter	0	1	0	1	gneg	
2	q	A1	1	30	2	14053941	gpos	100
2	q	A2	30	35	14053942	16396265	gneg	
2	q	A3	35	62	16396266	29044812	gpos	33
2	q	B	62	103	29044813	48251866	gneg	
2	q	C1.1	103	129	48251867	60431949	gpos	100
2	q	C1.2	129	130	60431950	60900414	gneg	
2	q	C1.3	130	146	60900415	68395849	gpos	100
2	q	C2	146	153	68395850	71675102	gneg	
2	q	C3	153	173	71675103	81044397	gpos	66
2	q	D	173	189	81044398	88539832	gneg	
2	q	E1	189	216	88539833	101188380	gpos	100
2	q	E2	216	224	101188381	104936098	gneg	
2	q	E3	224	241	104936099	112899998	gpos	33
2	q	E4	241	247	112899999	115710786	gneg	
2	q	E5	247	264	115710787	123674687	gpos	66
2	q	F1	264	281	123674688	131638587	gneg	
2	q	F2	281	287	131638588	134449375	gpos	33
2	q	F3	287	301	134449376	141007881	gneg	
2	q	G1	301	313	141007882	146629458	gpos	100
2	q	G2	313	315	146629459	147566388	gneg	
2	q	G3	315	325	147566389	152251035	gpos	100
2	q	H1	325	339	152251036	158809541	gneg	
2	q	H2	339	348	158809542	163025724	gpos	33
2	q	H3	348	370	163025725	173331947	gneg	
2	q	H4	370	388	173331948	181764313	gpos	33
3	p	ter	0	1	0	1	gneg	
3	q	A1	1	38	2	18414437	gpos	100
3	q	A2	38	42	18414438	20352799	gneg	
3	q	A3	42	73	20352800	35375104	gpos	66
3	q	B	73	96	35375105	46520685	gneg	
3	q	C	96	116	46520686	56212494	gpos	100
3	q	D	116	125	56212495	60573809	gneg	
3	q	E1	125	143	60573810	69296437	gpos	33
3	q	E2	143	149	69296438	72203980	gneg	
3	q	E3	149	172	72203981	83349561	gpos	100
3	q	F1	172	191	83349562	92556780	gneg	
3	q	F2.1	191	200	92556781	96918094	gpos	33
3	q	F2.2	200	218	96918095	105640723	gneg	
3	q	F2.3	218	222	105640724	107579084	gpos	33
3	q	F3	222	236	107579085	114363351	gneg	
3	q	G1	236	260	114363352	125993522	gpos	100
3	q	G2	260	264	125993523	127931884	gneg	
3	q	G3	264	284	127931885	137623694	gpos	66
3	q	H1	284	295	137623695	142954189	gneg	
3	q	H2	295	304	142954190	147315503	gpos	33
3	q	H3	304	316	147315504	153130589	gneg	
3	q	H4	316	328	153130590	158945675	gpos	33
4	p	ter	0	1	0	1	gneg	
4	q	A1	1	31	2	14708669	gpos	100
4	q	A2	31	37	14708670	17555508	gneg	
4	q	A3	37	59	17555509	27993918	gpos	100
4	q	A4	59	63	27993919	29891811	gneg	
4	q	A5	63	91	29891812	43177061	gpos	66
4	q	B1	91	108	43177062	51243105	gneg	
4	q	B2	108	115	51243106	54564418	gpos	33
4	q	B3	115	132	54564419	62630462	gneg	
4	q	C1	132	145	62630463	68798614	gpos	33
4	q	C2	145	150	68798615	71170980	gneg	
4	q	C3	150	175	71170981	83032810	gpos	100
4	q	C4	175	187	83032811	88726488	gneg	
4	q	C5	187	203	88726489	96318060	gpos	66
4	q	C6	203	220	96318061	104384104	gneg	
4	q	C7	220	231	104384105	109603309	gpos	66
4	q	D1	231	245	109603310	116245934	gneg	
4	q	D2.1	245	251	116245935	119092773	gpos	33
4	q	D2.2	251	273	119092774	129531184	gneg	
4	q	D2.3	273	279	129531185	132378023	gpos	33
4	q	D3	279	295	132378024	139969594	gneg	
4	q	E1	295	308	139969595	146137746	gpos	100
4	q	E2	308	326	146137747	154678264	gneg	
5	p	ter	0	1	0	1	gneg	
5	q	A1	1	31	2	14748527	gpos	100
5	q	A2	31	34	14748528	16175804	gneg	
5	q	A3	34	53	16175805	25215224	gpos	66
5	q	B1	53	70	25215225	33303127	gneg	
5	q	B2	70	74	33303128	35206162	gpos	33
5	q	B3	74	105	35206163	49954690	gneg	
5	q	C1	105	122	49954691	58042592	gpos	33
5	q	C2	122	127	58042593	60421387	gneg	
5	q	C3.1	127	149	60421388	70888084	gpos	100
5	q	C3.2	149	153	70888085	72791120	gneg	
5	q	C3.3	153	162	72791121	77072951	gpos	66
5	q	D	162	170	77072952	80879023	gneg	
5	q	E1	170	190	80879024	90394202	gpos	100
5	q	E2	190	195	90394203	92772996	gneg	
5	q	E3	195	207	92772997	98482104	gpos	33
5	q	E4	207	212	98482105	100860899	gneg	
5	q	E5	212	224	100860900	106570006	gpos	33
5	q	F	224	260	106570007	123697329	gneg	
5	q	G1.1	260	264	123697330	125600365	gpos	33
5	q	G1.2	264	266	125600366	126551883	gneg	
5	q	G1.3	266	272	126551884	129406436	gpos	33
5	q	G2	272	304	129406437	144630723	gneg	
5	q	G3	304	316	144630724	150339831	gpos	33
6	p	ter	0	1	0	1	gneg	
6	q	A1	1	34	2	16693979	gpos	100
6	q	A2	34	44	16693980	21603973	gneg	
6	q	A3.1	44	56	21603974	27495966	gpos	100
6	q	A3.2	56	58	27495967	28477964	gneg	
6	q	A3.3	58	70	28477965	34369957	gpos	100
6	q	B1	70	85	34369958	41734948	gneg	
6	q	B2.1	85	91	41734949	44680944	gpos	66
6	q	B2.2	91	94	44680945	46153943	gneg	
6	q	B2.3	94	104	46153944	51063937	gpos	66
6	q	B3	104	128	51063938	62847922	gneg	
6	q	C1	128	152	62847923	74631908	gpos	100
6	q	C2	152	157	74631909	77086905	gneg	
6	q	C3	157	176	77086906	86415893	gpos	66
6	q	D1	176	193	86415894	94762883	gneg	
6	q	D2	193	196	94762884	96235881	gpos	33
6	q	D3	196	211	96235882	103600872	gneg	
6	q	E1	211	222	103600873	109001865	gpos	100
6	q	E2	222	224	109001866	109983864	gneg	
6	q	E3	224	239	109983865	117348855	gpos	100
6	q	F1	239	251	117348856	123240848	gneg	
6	q	F2	251	256	123240849	125695845	gpos	33
6	q	F3	256	270	125695846	132569836	gneg	
6	q	G1	270	285	132569837	139934827	gpos	66
6	q	G2	285	292	139934828	143371823	gneg	
6	q	G3	292	306	143371824	150245815	gpos	33
7	p	ter	0	1	0	1	gneg	
7	q	A1	1	30	2	14606950	gpos	100
7	q	A2	30	36	14606951	17528340	gneg	
7	q	A3	36	56	17528341	27266307	gpos	33
7	q	B1	56	68	27266308	33109087	gneg	
7	q	B2	68	74	33109088	36030478	gpos	33
7	q	B3	74	94	36030479	45768445	gneg	
7	q	B4	94	107	45768446	52098123	gpos	33
7	q	B5	107	120	52098124	58427802	gneg	
7	q	C	120	141	58427803	68652667	gpos	100
7	q	D1	141	152	68652668	74008549	gneg	
7	q	D2	152	159	74008550	77416837	gpos	66
7	q	D3	159	178	77416838	86667906	gneg	
7	q	E1	178	197	86667907	95918975	gpos	100
7	q	E2	197	202	95918976	98353467	gneg	
