#chromosome	arm	band	iscn_start	iscn_stop	bp_start	bp_stop	stain	density
1	p	ter	0	1	0	1	gneg	
1	q	A1	1	18	2	8815637	gpos	100
1	q	A2	18	25	8815638	12243940	gneg	
1	q	A3	25	41	12243941	20080062	gpos	33
1	q	A4	41	45	20080063	22039093	gneg	
1	q	A5	45	63	22039094	30854730	gpos	100
1	q	B	63	88	30854731	43098671	gneg	
1	q	C1.1	88	111	43098672	54363096	gpos	66
1	q	C1.2	111	114	54363097	55832369	gneg	
1	q	C1.3	114	121	55832370	59260672	gpos	75
1	q	C2	121	133	59260673	65137764	gneg	
1	q	C3	133	152	65137765	74443159	gpos	33
1	q	C4	152	163	74443160	79830492	gneg	
1	q	C5	163	178	79830493	87176857	gpos	33
1	q	D	178	203	87176858	99420798	gneg	
1	q	E1.1	203	209	99420799	102359343	gpos	33
1	q	E1.2	209	211	102359344	103338859	gneg	
1	q	E2.1	211	229	103338860	112154496	gpos	100
1	q	E2.2	229	232	112154497	113623769	gneg	
1	q	E2.3	232	256	113623770	125377952	gpos	100
1	q	E3	256	262	125377953	128316497	gneg	
1	q	E4	262	284	128316498	139091165	gpos	66
1	q	F	284	300	139091166	146927287	gneg	
1	q	G1	300	309	146927288	151335106	gpos	100
1	q	G2	309	311	151335107	152314621	gneg	
1	q	G3	311	320	152314622	156722440	gpos	100
1	q	H1	320	326	156722441	159660985	gneg	
1	q	H2.1	326	334	159660986	163579046	gpos	33
1	q	H2.2	334	337	163579047	165048319	gneg	
1	q	H2.3	337	346	165048320	169456138	gpos	33
1	q	H3	346	358	169456139	175333229	gneg	
1	q	H4	358	370	175333230	181210321	gpos	33
1	q	H5	370	383	181210322	187577170	gneg	
1	q	H6	383	398	187577171	194923535	gpos	33
2	p	ter	0	1	0	1	gneg	
2	q	A1	1	30	2	14114556	gpos	100
2	q	A2	30	35	14114557	16466982	gneg	
2	q	A3	35	62	16466983	29170083	gpos	33
2	q	B	62	103	29170084	48459978	gneg	
2	q	C1.1	103	129	48459979	60692593	gpos	100
2	q	C1.2	129	130	60692594	61163079	gneg	
2	q	C1.3	130	146	61163080	68690842	gpos	100
2	q	C2	146	153	68690843	71984239	gneg	
2	q	C3	153	173	71984240	81393943	gpos	66
2	q	D	173	189	81393944	88921707	gneg	
2	q	E1	189	216	88921708	101624808	gpos	100
2	q	E2	216	224	101624809	105388690	gneg	
2	q	E3	224	241	105388691	113386939	gpos	33
2	q	E4	241	247	113386940	116209850	gneg	
2	q	E5	247	264	116209851	124208099	gpos	66
2	q	F1	264	281	124208100	132206348	gneg	
2	q	F2	281	287	132206349	135029259	gpos	33
2	q	F3	287	301	135029260	141616052	gneg	
2	q	G1	301	313	141616053	147261875	gpos	100
2	q	G2	313	315	147261876	148202845	gneg	
2	q	G3	315	325	148202846	152907697	gpos	100
2	q	H1	325	339	152907698	159494491	gneg	
2	q	H2	339	348	159494492	163728858	gpos	33
2	q	H3	348	370	163728859	174079532	gneg	
2	q	H4	370	388	174079533	182548267	gpos	33
3	p	ter	0	1	0	1	gneg	
3	q	A1	1	38	2	18519095	gpos	100
3	q	A2	38	42	18519096	20468474	gneg	
3	q	A3	42	73	20468475	35576158	gpos	66
3	q	B	73	96	35576159	46785084	gneg	
3	q	C	96	116	46785085	56531977	gpos	100
3	q	D	116	125	56531978	60918078	gneg	
3	q	E1	125	143	60918079	69690282	gpos	33
3	q	E2	143	149	69690283	72614350	gneg	
3	q	E3	149	172	72614351	83823276	gpos	100
3	q	F1	172	191	83823277	93082824	gneg	
3	q	F2.1	191	200	93082825	97468926	gpos	33
3	q	F2.2	200	218	97468927	106241129	gneg	
3	q	F2.3	218	222	106241130	108190508	gpos	33
3	q	F3	222	236	108190509	115013332	gneg	
3	q	G1	236	260	115013333	126709604	gpos	100
3	q	G2	260	264	126709605	128658982	gneg	
3	q	G3	264	284	128658983	138405875	gpos	66
3	q	H1	284	295	138405876	143766666	gneg	
3	q	H2	295	304	143766667	148152767	gpos	33
3	q	H3	304	316	148152768	154000903	gneg	
3	q	H4	316	328	154000904	159849039	gpos	33
4	p	ter	0	1	0	1	gneg	
4	q	A1	1	31	2	14755947	gpos	100
4	q	A2	31	37	14755948	17611936	gneg	
4	q	A3	37	59	17611937	28083899	gpos	100
4	q	A4	59	63	28083900	29987892	gneg	
4	q	A5	63	91	29987893	43315844	gpos	66
4	q	B1	91	108	43315845	51407815	gneg	
4	q	B2	108	115	51407816	54739803	gpos	33
4	q	B3	115	132	54739804	62831774	gneg	
4	q	C1	132	145	62831775	69019752	gpos	33
4	q	C2	145	150	69019753	71399743	gneg	
4	q	C3	150	175	71399744	83299700	gpos	100
4	q	C4	175	187	83299701	89011680	gneg	
4	q	C5	187	203	89011681	96627653	gpos	66
4	q	C6	203	220	96627654	104719624	gneg	
4	q	C7	220	231	104719625	109955605	gpos	66
4	q	D1	231	245	109955606	116619581	gneg	
4	q	D2.1	245	251	116619582	119475571	gpos	33
4	q	D2.2	251	273	119475572	129947533	gneg	
4	q	D2.3	273	279	129947534	132803523	gpos	33
4	q	D3	279	295	132803524	140419495	gneg	
4	q	E1	295	308	140419496	146607473	gpos	100
4	q	E2	308	326	146607474	155175443	gneg	
5	p	ter	0	1	0	1	gneg	
5	q	A1	1	31	2	14780949	gpos	100
5	q	A2	31	34	14780950	16211363	gneg	
5	q	A3	34	53	16211364	25270655	gpos	66
5	q	B1	53	70	25270656	33376337	gneg	
5	q	B2	70	74	33376338	35283556	gpos	33
5	q	B3	74	105	35283557	50064506	gneg	
5	q	C1	105	122	50064507	58170187	gpos	33
5	q	C2	122	127	58170188	60554212	gneg	
5	q	C3.1	127	149	60554213	71043918	gpos	100
5	q	C3.2	149	153	71043919	72951137	gneg	
5	q	C3.3	153	162	72951138	77242380	gpos	66
5	q	D	162	170	77242381	81056819	gneg	
5	q	E1	170	190	81056820	90592915	gpos	100
5	q	E2	190	195	90592916	92976939	gneg	
5	q	E3	195	207	92976940	98698597	gpos	33
5	q	E4	207	212	98698598	101082621	gneg	
5	q	E5	212	224	101082622	106804279	gpos	33
5	q	F	224	260	106804280	123969253	gneg	
5	q	G1.1	260	264	123969254	125876472	gpos	33
5	q	G1.2	264	266	125876473	126830082	gneg	
5	q	G1.3	266	272	126830083	129690910	gpos	33
5	q	G2	272	304	129690911	144948665	gneg	
5	q	G3	304	316	144948666	150670323	gpos	33
6	p	ter	0	1	0	1	gneg	
6	q	A1	1	34	2	16627426	gpos	100
6	q	A2	34	44	16627427	21517845	gneg	
6	q	A3.1	44	56	21517846	27386348	gpos	100
6	q	A3.2	56	58	27386349	28364432	gneg	
6	q	A3.3	58	70	28364433	34232935	gpos	100
6	q	B1	70	85	34232936	41568565	gneg	
6	q	B2.1	85	91	41568566	44502816	gpos	66
6	q	B2.2	91	94	44502817	45969942	gneg	
6	q	B2.3	94	104	45969943	50860361	gpos	66
6	q	B3	104	128	50860362	62597368	gneg	
6	q	C1	128	152	62597369	74334375	gpos	100
6	q	C2	152	157	74334376	76779584	gneg	
6	q	C3	157	176	76779585	86071381	gpos	66
6	q	D1	176	193	86071382	94385094	gneg	
6	q	D2	193	196	94385095	95852220	gpos	33
6	q	D3	196	211	95852221	103187849	gneg	
6	q	E1	211	222	103187850	108567310	gpos	100
6	q	E2	222	224	108567311	109545394	gneg	
6	q	E3	224	239	109545395	116881023	gpos	100
6	q	F1	239	251	116881024	122749527	gneg	
6	q	F2	251	256	122749528	125194736	gpos	33
6	q	F3	256	270	125194737	132041324	gneg	
6	q	G1	270	285	132041325	139376953	gpos	66
6	q	G2	285	292	139376954	142800246	gneg	
6	q	G3	292	306	142800247	149646834	gpos	33
7	p	ter	0	1	0	1	gneg	
7	q	A1	1	30	2	14818782	gpos	100
7	q	A2	30	36	14818783	17782538	gneg	
7	q	A3	36	56	17782539	27661727	gpos	33
7	q	B1	56	68	27661728	33589240	gneg	
7	q	B2	68	74	33589241	36552996	gpos	33
7	q	B3	74	94	36552997	46432184	gneg	
7	q	B4	94	107	46432185	52853657	gpos	33
7	q	B5	107	120	52853658	59275129	gneg	
7	q	C	120	141	59275130	69648277	gpos	100
7	q	D1	141	152	69648278	75081831	gneg	
7	q	D2	152	159	75081832	78539546	gpos	66
7	q	D3	159	178	78539547	87924775	gneg	
7	q	E1	178	197	87924776	97310004	gpos	100
7	q	E2	197	202	97310005	99779801	gneg	
7	q	E3	202	220	99779802	108671071	gpos	33
7	q	F1	220	234	108671072	115586503	gneg	
7	q	F2	234	243	115586504	120032137	gpos	33
7	q	F3	243	271	120032138	133863001	gneg	
7	q	F4	271	278	133863002	137320717	gpos	33
7	q	F5	278	287	137320718	141766352	gneg	
8	p	ter	0	1	0	1	gneg	
8	q	A1.1	1	34	2	15752600	gpos	100
8	q	A1.2	34	36	15752601	16679224	gneg	
8	q	A1.3	36	43	16679225	19922406	gpos	33
8	q	A2	43	63	19922407	29188642	gneg	
8	q	A3	63	72	29188643	33358448	gpos	33
8	q	A4	72	94	33358449	43551307	gneg	
8	q	B1.1	94	103	43551308	47721113	gpos	66
8	q	B1.2	103	107	47721114	49574361	gneg	
8	q	B1.3	107	119	49574362	55134102	gpos	66
8	q	B2	119	127	55134103	58840596	gneg	
8	q	B3.1	127	143	58840597	66253585	gpos	100
8	q	B3.2	143	145	66253586	67180209	gneg	
8	q	B3.3	145	159	67180210	73666574	gpos	100
8	q	C1	159	171	73666575	79226315	gneg	
8	q	C2	171	181	79226316	83859433	gpos	33
8	q	C3	181	192	83859434	88955862	gneg	
8	q	C4	192	195	88955863	90345798	gpos	33
8	q	C5	195	204	90345799	94515604	gneg	
8	q	D1	204	220	94515605	101928592	gpos	100
8	q	D2	220	222	101928593	102855216	gneg	
8	q	D3	222	236	102855217	109341581	gpos	33
8	q	E1	236	264	109341582	122314311	gneg	
8	q	E2	264	276	122314312	127874053	gpos	33
9	p	ter	0	1	0	1	gneg	
9	q	A1	1	31	2	14323415	gpos	100
9	q	A2	31	42	14323416	19405917	gneg	
9	q	A3	42	52	19405918	24026374	gpos	33
9	q	A4	52	82	24026375	37887743	gneg	
9	q	A5.1	82	95	37887744	43894337	gpos	66
9	q	A5.2	95	100	43894338	46204565	gneg	
9	q	A5.3	100	118	46204566	54521387	gpos	66
9	q	B	118	136	54521388	62838209	gneg	
9	q	C	136	150	62838210	69306848	gpos	33
9	q	D	150	167	69306849	77161624	gneg	
9	q	E1	167	178	77161625	82244126	gpos	33
9	q	E2	178	182	82244127	84092309	gneg	
9	q	E3.1	182	196	84092310	90560948	gpos	100
9	q	E3.2	196	197	90560949	91022994	gneg	
9	q	E3.3	197	217	91022995	100263907	gpos	100
9	q	E4	217	219	100263908	101187998	gpos	66
9	q	F1	219	233	101187999	107656638	gneg	
9	q	F2	233	239	107656639	110428911	gpos	33
9	q	F3	239	258	110428912	119207779	gneg	
9	q	F4	258	268	119207780	123828236	gpos	33
10	p	ter	0	1	0	1	gneg	
10	q	A1	1	26	2	12761267	gpos	100
10	q	A2	26	36	12761268	17669447	gneg	
10	q	A3	36	48	17669448	23559263	gpos	33
10	q	A4	48	68	23559264	33375622	gneg	
10	q	B1	68	84	33375623	41228710	gpos	100
10	q	B2	84	98	41228711	48100162	gneg	
10	q	B3	98	114	48100163	55953250	gpos	100
10	q	B4	114	130	55953251	63806338	gneg	
10	q	B5.1	130	138	63806339	67732881	gpos	100
10	q	B5.2	138	139	67732882	68223699	gneg	
10	q	B5.3	139	152	68223700	74604333	gpos	100
10	q	C1	152	181	74604334	88838055	gneg	
10	q	C2	181	195	88838056	95709507	gpos	33
10	q	C3	195	201	95709508	98654414	gneg	
10	q	D1	201	227	98654415	111415682	gpos	100
10	q	D2	227	253	111415683	124176950	gneg	
10	q	D3	253	265	124176951	130066766	gpos	33
11	p	ter	0	1	0	1	gneg	
11	q	A1	1	28	2	13047955	gpos	100
11	q	A2	28	37	13047956	17241941	gneg	
11	q	A3.1	37	47	17241942	21901925	gpos	100
11	q	A3.2	47	55	21901926	25629913	gneg	
11	q	A3.3	55	65	25629914	30289897	gpos	100
11	q	A4	65	78	30289898	36347877	gneg	
11	q	A5	78	93	36347878	43337853	gpos	100
11	q	B1.1	93	103	43337854	47997837	gneg	
11	q	B1.2	103	107	47997838	49861831	gpos	33
11	q	B1.3	107	129	49861832	60113796	gneg	
11	q	B2	129	135	60113797	62909787	gpos	33
11	q	B3	135	152	62909788	70831760	gneg	
11	q	B4	152	159	70831761	74093749	gpos	33
11	q	B5	159	176	74093750	82015722	gneg	
11	q	C	176	194	82015723	90403694	gpos	100
11	q	D	194	220	90403695	102519653	gneg	
11	q	E1	220	237	102519654	110441626	gpos	66
11	q	E2	237	262	110441627	122091587	gneg	
12	p	ter	0	1	0	1	gneg	
12	q	A1.1	1	40	2	17262139	gpos	100
12	q	A1.2	40	48	17262140	20714567	gneg	
12	q	A1.3	48	59	20714568	25461655	gpos	66
12	q	A2	59	72	25461656	31071851	gneg	
12	q	A3	72	89	31071852	38408260	gpos	33
12	q	B1	89	100	38408261	43155349	gneg	
12	q	B2	100	102	43155350	44018456	gpos	33
12	q	B3	102	118	44018457	50923311	gneg	
12	q	C1	118	150	50923312	64733023	gpos	100
12	q	C2	150	162	64733024	69911665	gneg	
12	q	C3	162	184	69911666	79405842	gpos	100
12	q	D1	184	194	79405843	83721377	gneg	
12	q	D2	194	201	83721378	86742251	gpos	33
12	q	D3	201	217	86742252	93647107	gneg	
12	q	E	217	241	93647108	104004391	gpos	100
12	q	F1	241	260	104004392	112203907	gneg	
12	q	F2	260	273	112203908	117814103	gpos	66
13	p	ter	0	1	0	1	gneg	
13	q	A1	1	33	2	15782727	gpos	100
13	q	A2	33	43	15782728	20565371	gneg	
13	q	A3.1	43	60	20565372	28695867	gpos	66
13	q	A3.2	60	67	28695868	32043718	gneg	
13	q	A3.3	67	84	32043719	40174214	gpos	33
13	q	A4	84	90	40174215	43043801	gneg	
